,Unnamed: 0,province,town,address,sortation
0,0,AB,Airdrie,"185 East Lake Cres Ne, Airdrie AB T4A 2H7",T4A
1,1,AB,Airdrie,"204 Veterans Blvd Ne, Unit 101, Airdrie AB T4B 3P2",T4B
2,2,AB,Airdrie,"300-2649 Main St Sw, Airdrie AB T4B 2V7",T4B
3,3,AB,Airdrie,"401 - 1 Midtown Blvd Sw, Airdrie AB T4B 4E7",T4B
4,4,AB,Airdrie,"900 Market St Se, Airdrie AB T4A 0K9",T4A
5,5,AB,Athabasca,"Highway 55 & 34th St., Athabasca AB T9S 0B8",T9S
6,6,AB,Banff,"100 Gopher St, Banff AB T1L 1J3",T1L
7,7,AB,Barrhead,"5101 50 St, Barrhead AB T7N 1A4",T7N
8,8,AB,Beaumont,"5900 50th St, Beaumont AB T4X 1T8",T4X
9,9,AB,Beaumont,"6001 29th Ave, Beaumont AB T4X 0H5",T4X
10,10,AB,Black Diamond,"100 3rd St Ne, Black Diamond AB T0L 0H0",T0L
11,11,AB,Blackfalds,"6017 Parkwood Rd, Blackfalds AB T0M 0J0",T0M
12,12,AB,Blairmore,"10501 20th Ave, Blairmore AB T0K 0E0",T0K
13,13,AB,Bonnyville,"5401 43 Rd St, #102, Bonnyville AB T9N 2G4",T9N
14,14,AB,Bonnyville,"6602-50th Avenue, Bonnyville AB T9N 2M6",T9N
15,15,AB,Bow Island,"410 - 7 Ave E, Bow Island AB T0K 0G0",T0K
16,16,AB,Bowden,"2 Heritage Drive, Bowden AB T0M 0K0",T0M
17,17,AB,Brooks,"100 708 - 4 Street Sw, Brooks AB T1R 0W3",T1R
18,18,AB,Brooks,"1315 2 St W, Brooks AB T1R 1P7",T1R
19,19,AB,Calgary,"10 Chaparral Dr Se, Unit #103, Calgary AB T2X 3R7",T2X
20,20,AB,Calgary,"100-20 Heritage Meadows, Calgary AB T2H 0B5",T2H
21,21,AB,Calgary,"#100 202 6th Ave Sw  Bow Valley Bottom, Calgary AB T2P 2V7",T2P
22,22,AB,Calgary,"100 Beddington Blvd Ne, Calgary AB T3K 2E2",T3K
23,23,AB,Calgary,"100 Walden Gate, Calgary AB T2X 0P3",T2X
24,24,AB,Calgary,"10125 19th St Ne, Calgary AB T3J 3P9",T3J
25,25,AB,Calgary,"1015 4th St Sw, Calgary AB T2R 1J4",T2R
26,26,AB,Calgary,"102-255 Sage Vally Common Nw, Calgary AB T3R 1T8",T3R
27,27,AB,Calgary,"10810 50th St Se, Calgary AB T2C 3E6",T2C
28,28,AB,Calgary,"#110-15 Sage Hill Plaza, Calgary AB T3R 0S4",T3R
29,29,AB,Calgary,"1110 Panatella Blvd Nw, Unit 430, Calgary AB T3K 0S6",T3K
30,30,AB,Calgary,"11472 Braeside Dr Sw, Calgary AB T2W 4X8",T2W
31,31,AB,Calgary,"11488 24th Street Se, Unit 400, Calgary AB T2Z 4C9",T2Z
32,32,AB,Calgary,"115-5029 Nosehill Dr Nw, Calgary AB T3L 0A2",T3L
33,33,AB,Calgary,"1155 - Cornerstone Blvd Ne, Boulevard Ne, Calgary AB T3N 2E9",T3N
34,34,AB,Calgary,"117 1323 Centre St North, Calgary AB T2E 2R5",T2E
35,35,AB,Calgary,"1185 49th Ave Ne, Calgary AB T2E 8V2",T2E
36,36,AB,Calgary,"1204 Kensington Road Nw, Calgary AB T2N 3P5",T2N
37,37,AB,Calgary,"1211 12th Ave Sw, Calgary AB T3C 3S7",T3C
38,38,AB,Calgary,"12580 Symons Valley Rd Nw, Calgary AB T3P 0A3",T3P
39,39,AB,Calgary,"1301 16th Ave Nw, Calgary AB T2M 0L4",T2M
40,40,AB,Calgary,"1301 16th Ave Nw, Calgary AB T2M 0L4",T2M
41,41,AB,Calgary,"1301 16th Ave Nw - Cenovus Bldg, Calgary AB T2M 0L4",T2M
42,42,AB,Calgary,"1341 32nd Ave Ne, Calgary AB T2E 7Z5",T2E
43,43,AB,Calgary,"13615 Bonaventure Dr, Calgary AB T2J 6W5",T2J
44,44,AB,Calgary,"1440 52nd St Ne, Unit 550, Calgary AB T2A 4T8",T2A
45,45,AB,Calgary,"151 Copperpond Blvd Se, Unit 201, Calgary AB T2Z 0Z7",T2Z
46,46,AB,Calgary,"1510-7 Mahogany Plaza Se, Calgary AB T2M 0T7",T2M
47,47,AB,Calgary,"15150 Mount Mckenzie Dr Se, Calgary AB T2Z 2L4",T2Z
48,48,AB,Calgary,"152 5303 68th Ave, Calgary AB T2P 3K4",T2P
49,49,AB,Calgary,"15425 Bannister Rd, Unit 30, Calgary AB T2X 3E9",T2X
50,50,AB,Calgary,"1632 14th Ave Nw, Calgary AB T2N 1M7",T2N
51,51,AB,Calgary,"1715 70 Street Se, Calgary AB T1X 0L4",T1X
