,business,brand,name,address,postal_code,sortation,city,phone
45,Bubble Tea,Chatime,RICHMOND HILL (ELGIN MILLS),1500 ELGIN MILLS ROAD EAST UNIT 106,L4S 0B2,0B2,RICHMOND HILL,(647) 696-3855
29,Bubble Tea,Chatime,BAKE CODE (VAUGHAN),"UNIT 4, 21 FAMOUS AVE.",L4L 0B6,0B6,WOODBRIDGE,(905) 850-5659
52,Bubble Tea,Chatime,Ajax (Church),603 Church St N Unit B7,L1T 0B8,0B8,AJAX,(289) 624-2001
26,Bubble Tea,Chatime,SCARBOROUGH (MIDLAND),UNIT G107 - 3250 MIDLAND AVENUE,M1V 0C4,0C4,SCARBOROUGH,(647) 351-6880
27,Bubble Tea,Chatime,Toronto (McNicoll),"Unit 1, Building A 2150 McNicoll Avenue",M1V 0E3,0E3,TORONTO,
34,Bubble Tea,Chatime,MARKHAM (DOWNTOWN MARKHAM),169 ENTERPRISE BOULEVARD,L6G 0E7,0E7,MARKHAM,(905) 948-0007
38,Bubble Tea,Chatime,Mississauga (Eglinton/Confederation),480 Eglinton Ave W.,L5R 0G2,0G2,MISSISSAUGA,(905) 615-9779
70,Bubble Tea,Chatime,BARRIE (CUNDLES),"UNIT 7, 367 CUNDLES RD.",L4M 0G9,0G9,BARRIE,(705) 719-1095
49,Bubble Tea,Chatime,MARKHAM (CASTLEMORE),"UNIT 4, 9850 MARKHAM RD.",L6E 0H7,0H7,MARKHAM,(905) 554-6880
54,Bubble Tea,Chatime,AJAX (SALEM),1995 SALEM ROAD NORTH BLDG H UNIT 9,L1T 0J9,0J9,AJAX,(289) 275-6125
55,Bubble Tea,Chatime,MILTON (THOMPSON/ST LAURENT),9010 Louis St. Laurent Ave Unit 2,L9T 0J9,0J9,MILTON,(289) 627-1005
40,Bubble Tea,Chatime,Woodbridge (Walmart),Walmart Supercentre #1081 8300 Hwy 27,L4H 0R9,0R9,WOODBRIDGE,(289) 589-9580
5,Bubble Tea,Chatime,Toronto (The Well),Wellington Market #4 486 Front St W,M5V 0V2,0V2,TORONTO,
